RV32M,M Standard Extension for Integer Multiplication and Division,2.0
xlen,32
""
Extension,Subset,Instruction,Description,Covergroup,Coverpoint,Coverpoint Description,Coverage Level,Pass/Fail Criteria,Test Type,Coverage Method
RV32M,M,div,,div_cg,,,,,,
,,,,,cp_asm_count,Number of times instruction is executed,Compliance Basic,Check against Reference Model,Constrained-Random,Functional Coverage
,,,,,cp_rd,RD (GPR) register assignment,Compliance Basic,Check against Reference Model,Constrained-Random,Functional Coverage
,,,,,cp_rd_sign,RD (GPR) sign of value,Compliance Basic,Check against Reference Model,Constrained-Random,Functional Coverage
,,,,,cp_rs1,RS1 (GPR) register assignment,Compliance Basic,Check against Reference Model,Constrained-Random,Functional Coverage
,,,,,cp_rs1_sign,RS1 (GPR) sign of value,Compliance Basic,Check against Reference Model,Constrained-Random,Functional Coverage
,,,,,cp_rs2,RS2 (GPR) register assignment,Compliance Basic,Check against Reference Model,Constrained-Random,Functional Coverage
,,,,,cp_rs2_sign,RS2 (GPR) sign of value,Compliance Basic,Check against Reference Model,Constrained-Random,Functional Coverage
,,,,,cr_rs1_rs2,Cross coverage of RS1 sign and RS2 sign,Compliance Basic,Check against Reference Model,Constrained-Random,Functional Coverage
,,,,,cmp_rd_rs1_eq,RD and RS1 register (assignment) WAR Hazard,DV Un-privileged Basic,Check against Reference Model,Constrained-Random,Functional Coverage
,,,,,cmp_rd_rs1_eqval,Compare RD and RS1 register values,DV Un-privileged Basic,Check against Reference Model,Constrained-Random,Functional Coverage
,,,,,cmp_rd_rs2_eq,RD and RS2 register (assignment) WAR Hazard,DV Un-privileged Basic,Check against Reference Model,Constrained-Random,Functional Coverage
,,,,,cmp_rd_rs2_eqval,Compare RD and RS2 register values,DV Un-privileged Basic,Check against Reference Model,Constrained-Random,Functional Coverage
,,,,,cmp_rs1_rs2_eq,Compare RS1 and RS2 register assignment,Compliance Extended,Check against Reference Model,Constrained-Random,Functional Coverage
,,,,,cmp_rs1_rs2_eqval,Compare RS1 and RS2 register values,Compliance Extended,Check against Reference Model,Constrained-Random,Functional Coverage
,,,,,cp_rd_toggle,RD Toggle bits,Compliance Extended,Check against Reference Model,Constrained-Random,Functional Coverage
,,,,,cp_rs1_toggle,RS1 Toggle bits,Compliance Extended,Check against Reference Model,Constrained-Random,Functional Coverage
,,,,,cp_rs2_toggle,RS2 Toggle bits,Compliance Extended,Check against Reference Model,Constrained-Random,Functional Coverage
,,,,,cp_rd_maxvals,RD Max values,Compliance Extended,Check against Reference Model,Constrained-Random,Functional Coverage
,,,,,cp_rs1_maxvals,RS1 Max values,Compliance Extended,Check against Reference Model,Constrained-Random,Functional Coverage
,,,,,cp_rs2_maxvals,RS2 Max values,Compliance Extended,Check against Reference Model,Constrained-Random,Functional Coverage
,,,,,cr_rd_rs1,Cross coverage of RD and RS1 register assignment,DV Un-privileged Basic,Check against Reference Model,Constrained-Random,Functional Coverage
,,,,,cr_rd_rs2,Cross coverage of RD and RS2 register assignment,DV Un-privileged Basic,Check against Reference Model,Constrained-Random,Functional Coverage
,,,,,cr_rd_rs1_rs2,"Cross coverage of RD, RS1, and RS2 register assignment",DV Un-privileged Basic,Check against Reference Model,Constrained-Random,Functional Coverage
,,,,,cp_gpr_hazard,GPR Hazard,DV Un-privileged Basic,Check against Reference Model,Constrained-Random,Functional Coverage
RV32M,M,divu,,divu_cg,,,,,,
,,,,,cp_asm_count,Number of times instruction is executed,Compliance Basic,Check against Reference Model,Constrained-Random,Functional Coverage
,,,,,cp_rd,RD (GPR) register assignment,Compliance Basic,Check against Reference Model,Constrained-Random,Functional Coverage
,,,,,cp_rd_sign,RD (GPR) sign of value,Compliance Basic,Check against Reference Model,Constrained-Random,Functional Coverage
,,,,,cp_rs1,RS1 (GPR) register assignment,Compliance Basic,Check against Reference Model,Constrained-Random,Functional Coverage
,,,,,cp_rs1_sign,RS1 (GPR) sign of value,Compliance Basic,Check against Reference Model,Constrained-Random,Functional Coverage
,,,,,cp_rs2,RS2 (GPR) register assignment,Compliance Basic,Check against Reference Model,Constrained-Random,Functional Coverage
,,,,,cp_rs2_sign,RS2 (GPR) sign of value,Compliance Basic,Check against Reference Model,Constrained-Random,Functional Coverage
,,,,,cr_rs1_rs2,Cross coverage of RS1 sign and RS2 sign,Compliance Basic,Check against Reference Model,Constrained-Random,Functional Coverage
,,,,,cmp_rd_rs1_eq,RD and RS1 register (assignment) WAR Hazard,DV Un-privileged Basic,Check against Reference Model,Constrained-Random,Functional Coverage
,,,,,cmp_rd_rs1_eqval,Compare RD and RS1 register values,DV Un-privileged Basic,Check against Reference Model,Constrained-Random,Functional Coverage
,,,,,cmp_rd_rs2_eq,RD and RS2 register (assignment) WAR Hazard,DV Un-privileged Basic,Check against Reference Model,Constrained-Random,Functional Coverage
,,,,,cmp_rd_rs2_eqval,Compare RD and RS2 register values,DV Un-privileged Basic,Check against Reference Model,Constrained-Random,Functional Coverage
,,,,,cmp_rs1_rs2_eq,Compare RS1 and RS2 register assignment,Compliance Extended,Check against Reference Model,Constrained-Random,Functional Coverage
,,,,,cmp_rs1_rs2_eqval,Compare RS1 and RS2 register values,Compliance Extended,Check against Reference Model,Constrained-Random,Functional Coverage
,,,,,cp_rd_toggle,RD Toggle bits,Compliance Extended,Check against Reference Model,Constrained-Random,Functional Coverage
,,,,,cp_rs1_toggle,RS1 Toggle bits,Compliance Extended,Check against Reference Model,Constrained-Random,Functional Coverage
,,,,,cp_rs2_toggle,RS2 Toggle bits,Compliance Extended,Check against Reference Model,Constrained-Random,Functional Coverage
,,,,,cp_rd_maxvals,RD Max values,Compliance Extended,Check against Reference Model,Constrained-Random,Functional Coverage
,,,,,cp_rs1_maxvals,RS1 Max values,Compliance Extended,Check against Reference Model,Constrained-Random,Functional Coverage
,,,,,cp_rs2_maxvals,RS2 Max values,Compliance Extended,Check against Reference Model,Constrained-Random,Functional Coverage
,,,,,cr_rd_rs1,Cross coverage of RD and RS1 register assignment,DV Un-privileged Basic,Check against Reference Model,Constrained-Random,Functional Coverage
,,,,,cr_rd_rs2,Cross coverage of RD and RS2 register assignment,DV Un-privileged Basic,Check against Reference Model,Constrained-Random,Functional Coverage
,,,,,cr_rd_rs1_rs2,"Cross coverage of RD, RS1, and RS2 register assignment",DV Un-privileged Basic,Check against Reference Model,Constrained-Random,Functional Coverage
,,,,,cp_gpr_hazard,GPR Hazard,DV Un-privileged Basic,Check against Reference Model,Constrained-Random,Functional Coverage
RV32M,"M,Zmmul",mul,,mul_cg,,,,,,
,,,,,cp_asm_count,Number of times instruction is executed,Compliance Basic,Check against Reference Model,Constrained-Random,Functional Coverage
,,,,,cp_rd,RD (GPR) register assignment,Compliance Basic,Check against Reference Model,Constrained-Random,Functional Coverage
,,,,,cp_rd_sign,RD (GPR) sign of value,Compliance Basic,Check against Reference Model,Constrained-Random,Functional Coverage
,,,,,cp_rs1,RS1 (GPR) register assignment,Compliance Basic,Check against Reference Model,Constrained-Random,Functional Coverage
,,,,,cp_rs1_sign,RS1 (GPR) sign of value,Compliance Basic,Check against Reference Model,Constrained-Random,Functional Coverage
,,,,,cp_rs2,RS2 (GPR) register assignment,Compliance Basic,Check against Reference Model,Constrained-Random,Functional Coverage
,,,,,cp_rs2_sign,RS2 (GPR) sign of value,Compliance Basic,Check against Reference Model,Constrained-Random,Functional Coverage
,,,,,cr_rs1_rs2,Cross coverage of RS1 sign and RS2 sign,Compliance Basic,Check against Reference Model,Constrained-Random,Functional Coverage
,,,,,cmp_rd_rs1_eq,RD and RS1 register (assignment) WAR Hazard,DV Un-privileged Basic,Check against Reference Model,Constrained-Random,Functional Coverage
,,,,,cmp_rd_rs1_eqval,Compare RD and RS1 register values,DV Un-privileged Basic,Check against Reference Model,Constrained-Random,Functional Coverage
,,,,,cmp_rd_rs2_eq,RD and RS2 register (assignment) WAR Hazard,DV Un-privileged Basic,Check against Reference Model,Constrained-Random,Functional Coverage
