RV32PRIVM,"Privileged, Machine-Level ISA",1.11
xlen,32
""
Extension,Subset,Instruction,Description,Covergroup,Coverpoint,Coverpoint Description,Coverage Level,Pass/Fail Criteria,Test Type,Coverage Method
RV32PRIVM,,cycle,"Privileged, Machine-Level ISA",cycle_cg,,,,,,
,,,,,cp_wr_count,Number of times csr is written,Compliance Basic,Check against Reference Model,Constrained-Random,Functional Coverage
RV32PRIVM,,cycleh,"Privileged, Machine-Level ISA",cycleh_cg,,,,,,
,,,,,cp_wr_count,Number of times csr is written,Compliance Basic,Check against Reference Model,Constrained-Random,Functional Coverage
RV32PRIVM,,instret,"Privileged, Machine-Level ISA",instret_cg,,,,,,
,,,,,cp_wr_count,Number of times csr is written,Compliance Basic,Check against Reference Model,Constrained-Random,Functional Coverage
RV32PRIVM,,instreth,"Privileged, Machine-Level ISA",instreth_cg,,,,,,
,,,,,cp_wr_count,Number of times csr is written,Compliance Basic,Check against Reference Model,Constrained-Random,Functional Coverage
RV32PRIVM,,marchid,"Privileged, Machine-Level ISA",marchid_cg,,,,,,
,,,,,cp_wr_count,Number of times csr is written,Compliance Basic,Check against Reference Model,Constrained-Random,Functional Coverage
RV32PRIVM,,mcycle,"Privileged, Machine-Level ISA",mcycle_cg,,,,,,
,,,,,cp_wr_count,Number of times csr is written,Compliance Basic,Check against Reference Model,Constrained-Random,Functional Coverage
RV32PRIVM,,mcycleh,"Privileged, Machine-Level ISA",mcycleh_cg,,,,,,
,,,,,cp_wr_count,Number of times csr is written,Compliance Basic,Check against Reference Model,Constrained-Random,Functional Coverage
RV32PRIVM,,mepc,"Privileged, Machine-Level ISA",mepc_cg,,,,,,
,,,,,cp_wr_count,Number of times csr is written,Compliance Basic,Check against Reference Model,Constrained-Random,Functional Coverage
RV32PRIVM,,mhartid,"Privileged, Machine-Level ISA",mhartid_cg,,,,,,
,,,,,cp_wr_count,Number of times csr is written,Compliance Basic,Check against Reference Model,Constrained-Random,Functional Coverage
RV32PRIVM,,mhpmcounter3h,"Privileged, Machine-Level ISA",mhpmcounter3h_cg,,,,,,
,,,,,cp_wr_count,Number of times csr is written,Compliance Basic,Check against Reference Model,Constrained-Random,Functional Coverage
RV32PRIVM,,mhpmevent3,"Privileged, Machine-Level ISA",mhpmevent3_cg,,,,,,
,,,,,cp_wr_count,Number of times csr is written,Compliance Basic,Check against Reference Model,Constrained-Random,Functional Coverage
RV32PRIVM,,mhpmevent4,"Privileged, Machine-Level ISA",mhpmevent4_cg,,,,,,
,,,,,cp_wr_count,Number of times csr is written,Compliance Basic,Check against Reference Model,Constrained-Random,Functional Coverage
RV32PRIVM,,mhpmevent5,"Privileged, Machine-Level ISA",mhpmevent5_cg,,,,,,
,,,,,cp_wr_count,Number of times csr is written,Compliance Basic,Check against Reference Model,Constrained-Random,Functional Coverage
RV32PRIVM,,mhpmevent6,"Privileged, Machine-Level ISA",mhpmevent6_cg,,,,,,
,,,,,cp_wr_count,Number of times csr is written,Compliance Basic,Check against Reference Model,Constrained-Random,Functional Coverage
RV32PRIVM,,mimpid,"Privileged, Machine-Level ISA",mimpid_cg,,,,,,
,,,,,cp_wr_count,Number of times csr is written,Compliance Basic,Check against Reference Model,Constrained-Random,Functional Coverage
RV32PRIVM,,minstret,"Privileged, Machine-Level ISA",minstret_cg,,,,,,
,,,,,cp_wr_count,Number of times csr is written,Compliance Basic,Check against Reference Model,Constrained-Random,Functional Coverage
RV32PRIVM,,minstreth,"Privileged, Machine-Level ISA",minstreth_cg,,,,,,
,,,,,cp_wr_count,Number of times csr is written,Compliance Basic,Check against Reference Model,Constrained-Random,Functional Coverage
RV32PRIVM,,mscratch,"Privileged, Machine-Level ISA",mscratch_cg,,,,,,
,,,,,cp_wr_count,Number of times csr is written,Compliance Basic,Check against Reference Model,Constrained-Random,Functional Coverage
RV32PRIVM,,mtinst,"Privileged, Machine-Level ISA",mtinst_cg,,,,,,
,,,,,cp_wr_count,Number of times csr is written,Compliance Basic,Check against Reference Model,Constrained-Random,Functional Coverage
